Model,Accuracy,Precision,Recall (Sensitivity),Specificity,F1,Balanced_Accuracy,AUC
knn_euclidean_k5,0.9,0.8970588235294118,0.953125,0.8055555555555556,0.9242424242424242,0.8793402777777778,0.9537760416666667
svm_rbf,0.87,0.8805970149253731,0.921875,0.7777777777777778,0.9007633587786259,0.8498263888888888,0.9314236111111112
logreg,0.84,0.9,0.84375,0.8333333333333334,0.8709677419354839,0.8385416666666667,0.91015625
knn_dtw_k5,0.79,0.8028169014084507,0.890625,0.6111111111111112,0.8444444444444444,0.7508680555555556,0.9166666666666667
