Model,Accuracy,Precision,Recall (Sensitivity),Specificity,F1,Balanced_Accuracy,AUC
knn_dtw_k5,0.7,0.7297297297297297,0.84375,0.4444444444444444,0.782608695652174,0.6440972222222222,0.720703125
logreg,0.6,0.7857142857142857,0.515625,0.75,0.6226415094339622,0.6328125,0.6388888888888888
knn_euclidean_k5,0.48,0.62,0.484375,0.4722222222222222,0.543859649122807,0.4782986111111111,0.48220486111111105
svm_rbf,0.56,0.8333333333333334,0.390625,0.8611111111111112,0.5319148936170213,0.6258680555555556,0.6605902777777778
